univerzita;rok;abs 1.-2.stupeň denní;abs 1.-2.stupeň externí;abs 3.stupeň denní;abs 3.stupeň externí;abs 3.stupeň externých vzdelávacích inštitúcií
TVU;2017;1041;310;21;26;0
TVU;2018;1037;292;14;15;0
TVU;2019;979;194;23;22;0
TVU;2020;1004;263;14;17;0
TVU;2021;1006;286;20;18;0
UCM;2009;1464;934;0;0;0
UCM;2010;1350;569;6;8;0
UCM;2011;1733;462;9;4;0
UCM;2012;1466;381;22;8;0
UCM;2013;1093;375;22;8;0
UCM;2014;1501;423;20;8;0
UCM;2015;1418;447;14;12;0
UCM;2016;1485;365;22;6;0
UCM;2017;1402;369;27;10;0
UCM;2018;1332;370;35;11;0
UCM;2019;1241;199;16;15;0
UCM;2020;1025;217;21;12;0
UCM;2021;1265;223;15;7;0
UJS;2009;434;361;3;0;0
UJS;2010;444;366;2;1;0
UJS;2011;419;375;2;0;0
UJS;2012;443;252;3;0;0
UJS;2013;464;237;2;1;0
UJS;2014;483;162;6;2;0
UJS;2015;504;132;4;5;0
UJS;2016;358;141;4;0;0
UJS;2017;366;80;5;5;0
UJS;2018;361;115;5;1;0
UJS;2019;355;83;16;0;0
UJS;2020;365;44;7;2;0
UJS;2021;365;80;3;4;0
UK;2009;5961;2191;174;174;105
UK;2010;6101;1483;252;462;137
UK;2011;5560;1458;175;114;27
UK;2012;5763;1235;240;154;48
UK;2013;5656;1193;239;130;57
UK;2014;5734;1097;296;143;63
UK;2015;5821;1059;286;120;48
UK;2016;5815;882;296;121;53
UK;2017;5492;702;226;139;49
UK;2018;5140;559;205;106;47
UK;2019;4810;479;212;95;49
UK;2020;4585;406;183;96;40
UK;2021;4627;479;226;80;47
UKF;2009;2754;2119;51;53;9
UKF;2010;2790;1550;41;69;1
UKF;2011;2591;1405;39;43;2
UKF;2012;2589;1183;74;39;2
UKF;2013;2662;1270;72;42;2
UKF;2014;2656;993;48;33;7
UKF;2015;2416;850;43;29;3
UKF;2016;2281;692;54;30;7
UKF;2017;1998;575;36;23;2
UKF;2018;1943;343;46;10;4
UKF;2019;1691;185;51;11;6
UKF;2020;1675;360;35;18;2
UKF;2021;1665;372;42;18;2
UMB;2009;2813;2334;35;54;0
UMB;2010;3124;1785;38;39;2
UMB;2011;2921;1524;51;22;0
UMB;2012;2434;1356;86;33;1
UMB;2013;2589;1261;62;29;1
UMB;2014;2191;990;69;24;1
UMB;2015;2345;822;64;24;1
UMB;2016;2101;674;56;22;0
UMB;2017;2168;592;51;28;3
UMB;2018;1817;329;49;26;3
UMB;2019;1738;284;41;26;13
UMB;2020;1579;342;28;15;2
UMB;2021;1535;277;14;17;0
UPJŠ;2009;1736;144;42;26;6
UPJŠ;2010;1746;183;53;48;8
UPJŠ;2011;1938;326;38;29;5
UPJŠ;2012;2010;295;53;26;8
UPJŠ;2013;2165;275;71;34;7
UPJŠ;2014;1737;258;77;34;6
UPJŠ;2015;1750;211;74;29;4
UPJŠ;2016;1619;168;58;34;3
UPJŠ;2017;1538;123;70;29;8
UPJŠ;2018;1436;77;56;32;6
UPJŠ;2019;1390;58;71;28;3
UPJŠ;2020;1371;76;60;39;7
UPJŠ;2021;1390;70;77;24;5
UVL;2009;165;25;6;10;3
UVL;2010;181;27;14;25;5
UVL;2011;234;19;15;5;2
UVL;2012;274;25;17;1;9
UVL;2013;263;43;19;2;6
UVL;2014;302;28;18;4;6
UVL;2015;345;25;9;2;1
UVL;2016;391;13;33;9;6
UVL;2017;366;1;14;3;7
UVL;2018;334;6;14;4;7
UVL;2019;382;2;11;5;3
UVL;2020;322;5;11;8;5
UVL;2021;298;10;14;11;5
VŠMU;2009;325;0;28;38;0
VŠMU;2010;325;0;27;35;0
VŠMU;2011;342;0;17;8;0
VŠMU;2012;326;0;23;14;0
VŠMU;2013;361;0;15;10;0
VŠMU;2014;331;0;21;13;0
VŠMU;2015;333;0;15;4;0
VŠMU;2016;339;0;10;7;0
VŠMU;2017;326;0;14;7;0
VŠMU;2018;333;0;10;3;0
VŠMU;2019;317;0;9;13;0
VŠMU;2020;290;7;14;6;0
VŠMU;2021;334;12;15;9;0
VŠVU;2009;210;0;5;6;0
VŠVU;2010;191;0;18;11;0
VŠVU;2011;191;0;11;4;0
VŠVU;2012;171;0;5;1;0
VŠVU;2013;175;0;12;2;0
VŠVU;2014;158;0;15;4;0
VŠVU;2015;177;0;14;4;0
VŠVU;2016;159;0;9;5;0
VŠVU;2017;187;0;15;6;0
VŠVU;2018;160;0;10;2;0
VŠVU;2019;160;0;5;1;0
VŠVU;2020;175;0;3;2;0
VŠVU;2021;173;0;3;8;0
ŽU;2009;2788;1039;81;55;0
ŽU;2010;2670;767;85;96;0
ŽU;2011;2657;672;84;38;0
ŽU;2012;2526;532;142;50;0
ŽU;2013;2665;533;85;37;0
ŽU;2014;2586;441;86;42;0
ŽU;2015;2371;266;87;19;0
ŽU;2016;2317;335;72;22;1
ŽU;2017;2068;281;77;15;0
ŽU;2018;2018;135;79;12;0
ŽU;2019;1999;100;78;14;0
ŽU;2020;1909;121;74;16;0
ŽU;2021;1985;104;81;11;0
